What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
"
none",Null,.,Joy,not teaching everything in the syllabus and expecting us to do them on the final project,Select---,none,Select---
N/A,Null,N/A,Null,N/A,Select---,"Whenever he cancels the class 20 minutes before the scheduled time and it is very inconvenient and disappointing to be honest as not all of us reside near the school, and in most cases, his subject is the only one we are scheduled to attend that day. Not to mention, we always ask him if he will meet the class a day before or even couple of hours before the sched and he will only respond roughly 20-30mins before his class. 

I am also disappointed by the fact that he has only met the class, two or three times throughout the entire semester. And because of this, I only learned 10% of what I should have learned based on the syllabus. ",Select---
N/A,Null,Explaining the details carefully and giving real life examples.,Joy,"Strict at its finest, but still well job done at teaching.",Select---,N/A,Select---
N/A,Null,Giving real-life situations and examples.,Joy,"Busy so much🙁, pero understandable naman po [PROFESSOR]🙏.",Select---,Keep up the good work sir!!,Select---
N/A,Null,"Giving students the ability to learn new things, especially the group presentation and their own programming assigned language.",Satisfaction,Busy si sir but understandable.,Select---,N/A,Select---
"DI NATUTURO, LAGI ABSENT MINURA KAME ONE MEETING, DI KAME PINAG FINALS, NAHIRAPAN KAME SA WD 123 KASI DI SYA NAGTUTURO SINCE FIRST YEAR KAME. LAB ACTIVITY, PINAG REPORTING KAME. NUNG FIRST YEAR PURO COPY PASTE NG CDE NA BINIBIGAY NYA LANG GINAGAWA NAMIN. HINDI MAAYOS MAGBIGAY NG GRADE, FOR SHORT , MINAGIC NYA LANG",Disappointment,WALA,Null,"LAHAT NG ABSENCES, HINDI NAGTUTURO NANG MAAYOS",Select---,"PLEASE MATURO NANG MAAYOS, LAGI PUMASOK SA CLASS KASI HINDI LAHAT AYAW MATUTO. NAGIGINGNG KAWAWA KAME SA IBANG SUB  KASI WALA KAME MAISAGOT. HINDI WORTH IT ANG GRADE KAS PARANG MINAGIC LANG",Select---
"I think adding a bit of fun to this course would make it more engaging. That's just my personal opinion, because sometimes, I find networking topics a bit boring, just a bit.",Boredom,"He answers all of our questions, and you can clearly see that he genuinely wants us to learn. Sometimes I get lost during the discussion because I'm not familiar with some of the terms he uses, but he always takes the time to explain them so we can fully understand what he's saying.

",Joy,"As I mentioned, I often get lost during the discussion, even though he does his best to explain everything clearly. One small nitpick I have is that he speaks quickly, which makes it hard for me to keep up. I feel a bit shy about telling him to slow down.",Select---,none,Select---
"the course itself is perfect for myself since i am still learning, for me if i have to improve something it would be myself to participate in the course",Satisfaction,by being strict but also being able to find time to make the students enjoy the course,Acceptance,none,Select---,none,Select---
"Include more hands-on activities related to setting up routers, switch, etc",Acceptance,[PROFESSOR] patience and breaking the topic's process into smaller parts making it more digestible.,Joy,N/A,Select---,N/A,Select---
"None, I feel very satisfied with this course. ",Satisfaction,[PROFESSOR] ability to make complex topics less intimidating and actually makes learning fun. Kudos also to sir for respecting our time by not going around the bush when teaching and for being able to keep the class engaged effortlessly.,Joy,N/A,Select---,N/A,Select---
"More in-depth discussion, breaking complex concepts into smaller digestible topics, and improved hands-on activities.",Acceptance,[PROFESSOR] consideration and acknowledging the students' limitation.,Acceptance,"The way [PROFESSOR] teaching is oftentimes insufficient and messy. Often would jump from one topic to another abruptly, making it confusing how the topics connect to each other. When Sir Rham introduces new concepts he'd miss introducing its foundation and how it's relevant to the bigger picture. It would be nicer and helpful when the process is properly explained and takes the time to teach the lesson instead of rushing through the most crucial part of our learning. ",Select---,"I truly appreciate the effort and dedication of Sir Rham. However, I feel the learning experience could be better if more time was devoted to explaining complex topics in greater depth and not try to water it down by speeding through the process and missing a lot of important concepts along the way. This would help ensure that all key concepts are thoroughly covered, as the course content itself is already challenging and demands considerable effort on our part to grasp. The instructor's patience and detailed guidance during these discussions would be greatly valued.

Additionally, we would also appreciate timely announcements when unable to attend class, as it helps us stay productive with our time. On that note, establishing clear, concise communication would be great. Hopefully, future projects will have better-structured project guidelines, it would significantly contribute to a smoother learning experience.

I appreciate [PROFESSOR] capabilities and thankful for the continued efforts, I hope this feedback helps foster an even more effective teaching and learning environment. ",Select---
