What changes would you recommend to improve this course?,Label,What did you like best about your instructors teaching?,Label,What did you like least about your instructor’s teaching?,Label,"Any further, constructive comment: ",Label
Make the lesson have more hours so lessons can be easily capture the lessons effectively,Acceptance,persistent,Acceptance,"It was hard to approach the professor sometimes, but always helpful when I did.",Acceptance,"I understand the effort behind detailed slides, though sometimes they’re overwhelming.",Acceptance
Longer time frame.,Acceptance,the patience when it comes to giving help in terms of the things we don't understand.,Acceptance,"Some topics were rushed, but I reviewed afterward.",Acceptance,"I appreciate the intent behind fast pacing, though not everyone can keep up.",Acceptance
More diverse approach to other algorithms,Acceptance,Patience,Acceptance,"The class was scolded sometimes, but it taught us discipline.",Acceptance,"I accept that the instructor is very strict, but it also taught us discipline.",Acceptance
"basics first, more resources",Acceptance,Keeping an eye for us for safety purposes,Acceptance,"Examples were tricky, but reviewing solved it.",Acceptance,"I know the lessons were compressed, but I still managed to learn something valuable.",Acceptance
The course is good scratch sample start up to be as guide will surely enhance students understanding in setting foundation of the business,Acceptance,Keeping us in check on our actions,Acceptance,"There were many readings, but they were informative.",Acceptance,"I accept that some teaching gaps exist, though I appreciate the effort to catch up.",Acceptance
More hands on coding,Acceptance,About the projects,Acceptance,"Some explanations were too quick, but classmates helped.",Acceptance,"I understand the methods used, though they can be improved for better engagement.",Acceptance
Please help the students more to fully understand this course and help them to prepare mentally/emotionally what comes next,Acceptance,Difficult task,Acceptance,"Activities were intense, but meaningful.",Acceptance,"I know the teaching style is straightforward, but I’d like to see more creativity in delivery.",Acceptance
Make more the teaching livelier and more on group activities to know how to communicate with each other,Acceptance,The Task he gives,Acceptance,"The class was too quiet sometimes, but it made me pay more attention.",Acceptance,"I accept that not all classes will be fun, though this one was still informative.",Acceptance
Discussions in class,Acceptance,Making us to create an advanced java system using the fundamentals of OOP,Acceptance,"Requirements piled up, but I finished them.",Acceptance,"I know the instructor gave us independence, though a bit more checking in would help.",Acceptance
More examples for lessons.,Acceptance,She's strict when it comes to midterm/final exam,Acceptance,"Handwriting on the board was small, but I adjusted.",Acceptance,"I appreciate the way topics were covered, even if some felt too advanced.",Acceptance
More lab activities,Acceptance,Not giving too much quiz,Acceptance,"Some discussions were abstract, but they made sense later.",Acceptance,"I accept the traditional style, though mixing in new methods could make learning smoother.",Acceptance
Teach us more skills for improvement and better coping of lessons.,Acceptance,Complex activities,Acceptance,"Deadlines were strict, but they built responsibility.",Acceptance,"I understand the professor’s priorities, though I hope to see more interaction next time.",Acceptance
More on hands on activity,Acceptance,Not giving too much quiz,Acceptance,"Some lessons moved on too fast, but notes helped.",Acceptance,"I know the pace was fast, but I also accept that it prepared us for real workloads.",Acceptance
More variety,Acceptance,Confirmation of information,Acceptance,"There was too much memorization, but it trained me well.",Acceptance,"I appreciate the instructor’s patience, even if lessons sometimes felt heavy.",Acceptance
Explain practical application,Acceptance,Exercise intensity,Acceptance,"Activities were repetitive, but they gave good practice.",Acceptance,"I accept that there were limits in teaching time, but I value the effort given.",Acceptance
