School Year,Semester,Course,Course_code,Subject_Description,What changes would you recommend to improve this course?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like best about your instructors teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,What did you like least about your instructor’s teaching?,Label,School Year,Semester,Course,Course_code,Subject_Description,"Any further, constructive comment: ",Label
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,To have accessible Computer Lab,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,Maybe giving feedback to the work,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 102,Computer Programming 2,I'm not sure. Maybe the pressuring of leading the class prayer,Acceptance,,,,,,I appreciate our instructor’s efforts in guiding us. I hope there will be more detailed feedback on the outputs and fair grading so we can learn and improve confidently.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"To enhance the course, I recommend that the instructor demonstrate live coding implementations of data structures and algorithms, providing a step-by-step walkthrough to clarify key logic and decision-making. This live coding session would help students visualize the flow and purpose of the code, solidifying their understanding of complex concepts and facilitating practical application.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,The slow teaching and applying it on a quiz,Acceptance,2024-2025,Summer,Master in Information Technology,MIT 209,Data Analytics,"It's difficult to pinpoint anything I disliked about my instructor. The course was well-structured. If I had to offer one suggestion, it might be face-to-face class. But overall, I had a very positive learning experience.",Acceptance,,,,,,Learn how to use easier methods,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,let us use the computer while learning how to code,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,The slow teaching and applying it on a quiz,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Information Technology,IT 136,IT Elective 2,"i'll say she improved a lot now than how she was before, and im thinking its just cause she was pregnant that time, thats why she was so scary and grumpy all the time.",Acceptance,,,,,,Needs more use of better methods,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,give time to teach the students,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,The prayers before and after the class and the way he encourage the students,Acceptance,,,,,,"Sometimes the lessons felt too detailed, but it was just to make sure everything was understood.",Acceptance,,,,,,"My overall experience was good because there are patient/calm instructors who are willing to guide and teach the students. However, I would like to suggest that instructors should explain the topic first before giving any coding problems or any activities, so it's easier for us to understand.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,more hands on teaching on the spot learning,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 135,Advanced Database Systems,gives us freedom to do what we can,Acceptance,,,,,,"The workload could feel heavy at times, but it helped me learn a lot.",Acceptance,,,,,,"More hands-on activities and a slower pace would help us understand better.
",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"implementation of the concepts like giving a demonstration of that certain concept through coding, instead of teaching only the concept.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 137,Software Engineering 1,freedom,Acceptance,,,,,,"Surprise quizzes were given, but I guess they helped us stay on track.",Acceptance,,,,,,"i dont know what to say, i know hes still great, just busy. ",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,"To improve this course, I recommend focusing on a more structured and detailed approach to teaching.",Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,their kind,Acceptance,,,,,,"There were moments when the lecture pace was too fast, but I eventually caught up.",Acceptance,,,,,,I hope he take time to explain more about the lessons and also asks the students if they really understand or need further explanations about the lessons.,Acceptance
2024-2025,1st Semester,Bachelor of Science in Computer Science,WD 123,Web Development 2,Explain slowly,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 133,Information Assurance and Security,"He teach good, it just that we always report the subjects instead of he teach that to us",Acceptance,,,,,,"Group activities were overwhelming at first, but they improved our teamwork.",Acceptance,,,,,,"My overall experience was good. However, I suggest that instructor should have been discussed the topics thoroughly.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,Teaching Techniques,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CS 131,Automata Theory and Formal Languages,Nonchalant.,Acceptance,,,,,,"Some explanations weren’t in-depth, but it encouraged me to study independently.",Acceptance,,,,,,"My overall experience was good. However, I suggest that instructors should give us easy to hard hands-on activites, so that the students would not be overwhelmed and could be able to gradually learn how to code.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,IT 212,Quantitative Methods,Less delay or changes in schedule.,Acceptance,,,,,,none,Acceptance,,,,,,"Deadlines were tight, but they taught me time management.",Acceptance,,,,,,"My overall experience was good. I suggest that instructors should discuss topics using simple terms, so it's easier for students to understand the topic right away.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,Teaching Style,Acceptance,2024-2025,1st Semester,Bachelor of Science in Information Technology,CS 140,CS Elective 2,He don't shout and allows us to explore about the projects,Acceptance,,,,,,"Announcements sometimes came late, but understandable due to many responsibilities.",Acceptance,,,,,,I hope he talks slowly but well explained,Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 104,Information Management,Give time for students to let the informations sink in to their minds before proceeding to another topic,Acceptance,2024-2025,2nd Semester,Bachelor of Science in Computer Science,CC 104,Information Management,Soft spoken,Acceptance,,,,,,"Classes sometimes felt long, but it meant more time for learning.",Acceptance,,,,,,"My overall experience was good. I suggest that instructors should discuss better topics, and more engaging activities.",Acceptance
2024-2025,1st Semester,Bachelor of Science in Information Technology,CC 103,Data Structures and Algorithms,I would recommend to have more assignments so that we can also learn on our own while doing a task.,Acceptance,2024-2025,1st Semester,Bachelor of Science in Computer Science,CC 105,Application Development and Emerging Technologies,Very Formal,Acceptance,,,,,,"The seatwork was repetitive, but it reinforced the lessons.",Acceptance,,,,,,I enjoy the activities but I hope there can be more detailed explanations of the topics before we start. It would help us understand better.,Acceptance
